"","Municipio","Año","Subtipo.de.delito","ene","feb","mar","abr","may","jun","jul","ago","sep","oct","nov","dic","Total"
"1712","Atenguillo",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1713","Atotonilco el Alto",2016,"Violación simple",1,0,0,0,1,0,0,0,0,1,0,1,4
"1714","Atoyac",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1715","Autlán de Navarro",2016,"Violación simple",1,1,1,0,1,0,0,0,2,0,0,1,7
"1716","Ayotlán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1717","Ayutla",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1718","Bolaños",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1719","Cabo Corrientes",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1720","Cañadas de Obregón",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1721","Casimiro Castillo",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1722","Chapala",2016,"Violación simple",0,0,0,0,1,1,1,0,2,0,0,0,5
"1723","Chimaltitán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1724","Chiquilistlán",2016,"Violación simple",0,0,0,0,0,0,0,1,0,0,0,0,1
"1725","Cihuatlán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1726","Cocula",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1727","Colotlán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1728","Concepción de Buenos Aires",2016,"Violación simple",1,0,0,0,0,0,0,0,0,0,0,0,1
"1729","Cuautitlán de García Barragán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1730","Cuautla",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1731","Cuquío",2016,"Violación simple",0,0,0,1,0,0,0,0,0,0,0,0,1
"1732","Degollado",2016,"Violación simple",0,0,0,0,0,0,1,0,0,0,0,0,1
"1733","Ejutla",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1734","El Arenal",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,1,1,2
"1735","El Grullo",2016,"Violación simple",0,0,0,0,1,0,0,0,0,0,0,0,1
"1736","El Limón",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1737","El Salto",2016,"Violación simple",0,0,2,0,0,2,6,2,2,0,3,1,18
"1738","Encarnación de Díaz",2016,"Violación simple",0,0,0,1,0,0,0,0,0,0,0,0,1
"1739","Etzatlán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1740","Gómez Farías",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1741","Guachinango",2016,"Violación simple",0,0,1,0,0,0,0,0,0,0,0,0,1
"1742","Guadalajara",2016,"Violación simple",6,6,9,10,9,6,5,3,8,10,5,9,86
"1743","Hostotipaquillo",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1744","Huejúcar",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1745","Huejuquilla el Alto",2016,"Violación simple",0,0,0,0,0,1,0,0,0,0,0,0,1
"1746","Ixtlahuacán de los Membrillos",2016,"Violación simple",0,0,0,1,0,1,0,1,1,0,0,0,4
"1747","Ixtlahuacán del Río",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1748","Jalostotitlán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1749","Jamay",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1750","Jesús María",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1751","Jilotlán de los Dolores",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1752","Jocotepec",2016,"Violación simple",1,0,1,1,0,2,0,0,0,0,1,0,6
"1753","Juanacatlán",2016,"Violación simple",0,0,0,1,0,0,0,0,0,0,0,0,1
"1754","Juchitlán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1755","La Barca",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1756","La Huerta",2016,"Violación simple",0,0,0,0,0,1,0,0,1,0,0,0,2
"1757","La Manzanilla de la Paz",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1758","Lagos de Moreno",2016,"Violación simple",0,0,0,1,1,0,0,0,1,0,1,0,4
"1759","Magdalena",2016,"Violación simple",0,0,0,0,0,0,0,1,0,0,0,0,1
"1760","Mascota",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1761","Mazamitla",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1762","Mexticacán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1763","Mezquitic",2016,"Violación simple",0,1,0,0,0,2,0,0,0,0,0,0,3
"1764","Mixtlán",2016,"Violación simple",0,0,0,0,0,0,1,0,0,0,0,0,1
"1765","No Especificado",2016,"Violación simple",0,0,0,1,1,6,5,12,13,8,7,4,57
"1766","Ocotlán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,2,2
"1767","Ojuelos de Jalisco",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1768","Pihuamo",2016,"Violación simple",1,0,0,0,0,0,0,0,0,0,0,0,1
"1769","Poncitlán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,1,1
"1770","Puerto Vallarta",2016,"Violación simple",3,2,1,3,13,5,3,0,1,0,1,2,34
"1771","Quitupan",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1772","San Cristóbal de la Barranca",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1773","San Diego de Alejandría",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1774","San Gabriel",2016,"Violación simple",0,1,0,0,0,0,0,0,0,0,0,0,1
"1775","San Ignacio Cerro Gordo",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1776","San Juan de los Lagos",2016,"Violación simple",1,1,0,0,0,0,0,0,0,1,0,1,4
"1777","San Juanito de Escobedo",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1778","San Julián",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1779","San Marcos",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1780","San Martín de Bolaños",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1781","San Martín Hidalgo",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1782","San Miguel el Alto",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1783","San Pedro Tlaquepaque",2016,"Violación simple",0,1,4,3,3,1,2,1,2,2,4,5,28
"1784","San Sebastián del Oeste",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1785","Santa María de los Ángeles",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1786","Santa María del Oro",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1787","Sayula",2016,"Violación simple",1,0,0,0,0,0,0,0,0,0,0,0,1
"1788","Tala",2016,"Violación simple",1,0,1,0,2,1,0,0,0,0,0,0,5
"1789","Talpa de Allende",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1790","Tamazula de Gordiano",2016,"Violación simple",0,1,0,0,0,0,0,0,0,0,0,1,2
"1791","Tapalpa",2016,"Violación simple",0,0,0,1,0,0,0,0,0,0,0,0,1
"1792","Tecalitlán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1793","Techaluta de Montenegro",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1794","Tecolotlán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1795","Tenamaxtlán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1796","Teocaltiche",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,1,0,1
"1797","Teocuitatlán de Corona",2016,"Violación simple",0,0,0,0,1,0,0,0,0,0,0,0,1
"1798","Tepatitlán de Morelos",2016,"Violación simple",0,0,1,0,0,1,0,0,1,1,0,0,4
"1799","Tequila",2016,"Violación simple",0,0,0,0,0,0,0,1,1,0,0,0,2
"1800","Teuchitlán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,1,0,1
"1801","Tizapán el Alto",2016,"Violación simple",0,0,0,0,0,1,0,0,0,0,0,0,1
"1802","Tlajomulco de Zúñiga",2016,"Violación simple",2,7,4,2,5,6,3,1,5,6,2,4,47
"1803","Tolimán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1804","Tomatlán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1805","Tonalá",2016,"Violación simple",0,3,3,4,7,0,2,1,1,1,6,5,33
"1806","Tonaya",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1807","Tonila",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1808","Totatiche",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1809","Tototlán",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1810","Tuxcacuesco",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1811","Tuxcueca",2016,"Violación simple",0,0,0,1,0,0,0,0,0,0,0,0,1
"1812","Tuxpan",2016,"Violación simple",0,0,0,0,0,0,0,0,0,1,0,0,1
"1813","Unión de San Antonio",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1814","Unión de Tula",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1815","Valle de Guadalupe",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1816","Valle de Juárez",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,1,0,1
"1817","Villa Corona",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1818","Villa Guerrero",2016,"Violación simple",0,0,0,0,0,0,0,1,0,0,0,0,1
"1819","Villa Hidalgo",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1820","Villa Purificación",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1821","Yahualica de González Gallo",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1822","Zacoalco de Torres",2016,"Violación simple",0,0,0,0,0,0,1,0,0,0,0,0,1
"1823","Zapopan",2016,"Violación simple",7,6,8,11,10,4,8,5,4,6,4,12,85
"1824","Zapotiltic",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,1,0,1
"1825","Zapotitlán de Vadillo",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1826","Zapotlán del Rey",2016,"Violación simple",0,0,0,0,0,0,0,0,0,0,0,0,0
"1827","Zapotlán el Grande",2016,"Violación simple",1,0,0,0,0,1,0,2,1,1,1,0,7
"1828","Zapotlanejo",2016,"Violación simple",1,0,0,0,0,0,0,0,0,0,0,0,1
"1829","Acatic",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1830","Acatlán de Juárez",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1831","Ahualulco de Mercado",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1832","Amacueca",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1833","Amatitán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1834","Ameca",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1835","Arandas",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1836","Atemajac de Brizuela",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1837","Atengo",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1838","Atenguillo",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1839","Atotonilco el Alto",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1840","Atoyac",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1841","Autlán de Navarro",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1842","Ayotlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1843","Ayutla",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1844","Bolaños",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1845","Cabo Corrientes",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1846","Cañadas de Obregón",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1847","Casimiro Castillo",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1848","Chapala",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1849","Chimaltitán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1850","Chiquilistlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1851","Cihuatlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1852","Cocula",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1853","Colotlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1854","Concepción de Buenos Aires",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1855","Cuautitlán de García Barragán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1856","Cuautla",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1857","Cuquío",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1858","Degollado",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1859","Ejutla",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1860","El Arenal",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1861","El Grullo",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1862","El Limón",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1863","El Salto",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1864","Encarnación de Díaz",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1865","Etzatlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1866","Gómez Farías",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1867","Guachinango",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1868","Guadalajara",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1869","Hostotipaquillo",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1870","Huejúcar",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1871","Huejuquilla el Alto",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1872","Ixtlahuacán de los Membrillos",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1873","Ixtlahuacán del Río",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1874","Jalostotitlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1875","Jamay",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1876","Jesús María",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1877","Jilotlán de los Dolores",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1878","Jocotepec",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1879","Juanacatlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1880","Juchitlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1881","La Barca",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1882","La Huerta",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1883","La Manzanilla de la Paz",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1884","Lagos de Moreno",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1885","Magdalena",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1886","Mascota",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1887","Mazamitla",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1888","Mexticacán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1889","Mezquitic",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1890","Mixtlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1891","No Especificado",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1892","Ocotlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1893","Ojuelos de Jalisco",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1894","Pihuamo",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1895","Poncitlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1896","Puerto Vallarta",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1897","Quitupan",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1898","San Cristóbal de la Barranca",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1899","San Diego de Alejandría",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1900","San Gabriel",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1901","San Ignacio Cerro Gordo",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1902","San Juan de los Lagos",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1903","San Juanito de Escobedo",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1904","San Julián",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1905","San Marcos",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1906","San Martín de Bolaños",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1907","San Martín Hidalgo",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1908","San Miguel el Alto",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1909","San Pedro Tlaquepaque",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1910","San Sebastián del Oeste",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1911","Santa María de los Ángeles",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1912","Santa María del Oro",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1913","Sayula",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1914","Tala",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1915","Talpa de Allende",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1916","Tamazula de Gordiano",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1917","Tapalpa",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1918","Tecalitlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1919","Techaluta de Montenegro",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1920","Tecolotlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1921","Tenamaxtlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1922","Teocaltiche",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1923","Teocuitatlán de Corona",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1924","Tepatitlán de Morelos",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1925","Tequila",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1926","Teuchitlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1927","Tizapán el Alto",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1928","Tlajomulco de Zúñiga",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1929","Tolimán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1930","Tomatlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1931","Tonalá",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1932","Tonaya",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1933","Tonila",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1934","Totatiche",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1935","Tototlán",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1936","Tuxcacuesco",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1937","Tuxcueca",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1938","Tuxpan",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1939","Unión de San Antonio",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1940","Unión de Tula",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1941","Valle de Guadalupe",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1942","Valle de Juárez",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1943","Villa Corona",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1944","Villa Guerrero",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1945","Villa Hidalgo",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"1946","Villa Purificación",2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
